№ п/п,раздел товара,группа товара,подкаталог,наименование,наименование короткое ,бренд,артикул,цена,короткое описание,объем,вес,количество,запах,кожа,цвет rgb, теги для поиска,Описание:,Состав:,Упаковка:,Способ применения:,С этим средством используют:,"Это средство необходимо для людей, у которых:",Это полезно знать:
,,,,* Концентрированная жидкость для полоскания полости рта,,glister ,9949,"256,93",Жидкость д/полоскания,50 мл,,,,,,,"Концентрированная универсальная жидкость для полоскания полости рта освежает дыхание, очищает полость рта, отлично удаляет зубной налет. Средство имеет приятный свежий запах мяты. Может использоваться во время беременности и в период лактации, безвредно для женщин и плода. Не вызывает аллергических реакций.
Средство обладает широким спектром действия. Есть успешный опыт его применения в стоматологии, ЛОР-пратике, при отравлениях, колото-резанных ранах, прорезании зубов у малышей, в гинекологии.
Экономичный расход - содержимое одного флакона рассчитано на 100 полосканий.
","эфирные масла мяты перечной, мяты лимонной, мяты обыкновенной, ментол, змеиный яд, спирт, вода, камфара, сахарный тростник, лимонный сок, органические кислоты и энзимы, алое вера, кава-кава, гнилостные грибы, полисорбант 20, чистотел, эвкалипт, и др.",флакон объемом 50 мл в комплекте с мерным стаканчиком.,"выбрызните средство в мерный стаканчик, входящий в комплект 5 раз и наполните его водой до отметки. Полощите ротовую полость в течении 30 секунд после чистки зубов.","glister Многофункциональная фтористая зубная паста (6833), glister Спрей-освежитель полости рта (9893), glister Универсальная зубная щетка (100957), glister Зубная нитка (0994).","Стоматологические проблемы
• для усиления терапевтического эффекта при таких заболеваниях как пародонтоз, цинга, кариес, сиалоаденит, гингивит, пародонтит и др.
• для увеличения эффективности чистки зубов (повышается более чем в 10 раз)
• для борьбы с кровотечениями, зубными отложениями, кариесом
• с целью обеззараживания полости рта – в состав препарата входят мощные антисептические компоненты растительного происхождения, которые эффективно борются с бактериями и микробами
• при паталогических изменениях зубной эмали у взрослых и детей, таких как паталогическая стираемость зубов, очаговая деминерализация зубов, эрозия и гиперестезия эмали, несформированная эмаль у младенцев
В ЛОР-практике
• для ингаляций при тонзиллитах, гайморитах и ринитах (в том числе и как капли в нос)
• для промываний и как капли при фронтитах, отитах и гнойных отитах, гнойных ангинах
• для ингаляций при фарингитах, ларингитах и др.
Общие нарушения здоровья
• при отравлениях – 2-10 впрыскиваний в мерный стаканчик и выпить, запивая большим количеством воды
• при колото-резанных, рваных ранах – использовать неразведенным на всем участке повреждений как кровеостанавливающее (коагулянт), обеззараживающее и обезболивающее средство (антисептик и анальгетик)
• при глазных выделениях – протирать глаза раствором из 1 капли средства на 30 капель воды
• при прорезании зубов у малышей – способствует быстрому прорезанию, не давая малышу пережить неприятные болевые ощущения
• в период эпидемий гриппа, ОРВИ – распылять в помещении состав из 10-15 впрыскиваний на 200 мл воды, а также протирать дверные ручки
• при легких воспалительных инфекциях как средство личной гигиены
В гинекологии
• при вагинальных кольпитах и молочницах, обильных белях и других выделениях, лайкоцитозах, зуде, герпесе
• при большой растянутости влагалища
• как средство до и после полового акта – обладает антибактериальным действием и повышает остроту ощущений у партнеров, др.
",
,,,,* Спрей-освежитель полости рта,,glister ,9893,"117,29",Спрей-освежитель,12 мл,9 гр.,,,,,,"Спрей-освежитель нейтрализует самые стойкие послевкусия, запахи еды, табака и надолго обеспечивает свежесть дыхания.  Работает как тоник и антиполицай. Отлично убирает боли в горле у взрослых и детей. Не содержит антибиотиков. Бескалорийный. Вкус свежей мяты с ментолом. Не вызывает аллергических реакций.
Экономичный расход – 250 порций (впрыскиваний), по экономичности заменяет 50 упаковок жвачек типа «Дирол», «Орбит».
","спирт, вода, ментол, глицерин, сода, подсластитель на натриевой основе.","флакон компактного размера, который удобно носить в кармане или маленькой сумочке, держать в салоне автомобиля в отделении для хранения мелочей",брызните спрей в полость рта.,"glister Многофункциональная фтористая зубная паста (6833), glister Концентрированная жидкость для полоскания полости рта (9949), glister Универсальная зубная щетка (100957), glister Зубная нитка (0994).","• при частых ларингитах, ангинах и першении в горле, средство способно остановить развитие ангины на стадии легких болей в горле
• в период переходного возраста у детей помогает сохранить голосовые связки, т.к. снимает со связок излишнее напряжение
• средство незаменимо для лекторов и людей, работающих в постоянном общении с людьми – снимает излишнее напряжение с голосовых связок
• для людей, у которых из-за проблем с печенью и ЖКТ есть характерный запах изо рта
• для восстановления кислотно-щелочного баланса в полости рта за одно впрыскивание, нейтрализует болезнетворные бактерии
",
,,,* средства для чистки,,,,,,,,,,,,,,,,,,,,
,,,,* Универсальная зубная щетка,,glister ,100957,"241,66",Зубная щетка,,,4 шт./уп,,,,,"Универсальная зубная щетка нежно ухаживает за зубами и деснами, имеет гибкую шейку, уникальную конусообразную головку и ручку, предотвращающую скольжение руки и помогающую удерживать щетку в выбранном положении. Узкая головка щетки оснащена щетинками двух типов: мягкими и средней степени жесткости. Это значительно облегчает чистку между зубами и по линии десен. Не вызывает аллергических реакций.
Шейка щетки мягко изгибается и принимает на себя давление во время чистки зубов, тем самым предотвращая повреждение зубов и десен. Легко достает до самых укромных уголков рта, удаляет зубной налет и массажирует десна. Замечательно чистит даже задние зубы.
Зубные щетки можно приобрести не только упаковкой, но и по отдельности
",,"щетки упакованы в картонную упаковку по 4 шт. разного цвета, каждая отдельная щетка упакована в классический контейнер из ПВХ и картона.",использовать для чистки зубов утром и вечером,glister Многофункциональная фтористая зубная паста (6833),,"На первый взгляд это обычная зубная щетка с подвижной серединной структурой, но эта щетка живая – она индикатор. Она изготовлена из полусинтетической щетины и натурального ворса (половина каждого волоска – это натуральный волос белки, а вторая половина – полусинтетический биополимер, соединенные друг с другом при помощи генной сварки)."
,,,,* Зубные щетки для детей,,glister ,9922,"212,52",Зубная щетка,,,4 шт./уп,,,,,"Щетки специально разработаны для чистки и ухода за «молочными» зубами деток. Мягкие, с закругленными кончиками щетинки нежно и эффективно чистят детские зубки, не повреждая при этом десен. Широкая толстая ручка зубной щетки не выскользнет из маленьких рук малыша. Не вызывает аллергических реакций.
Зубные щетки можно приобрести не только упаковкой, но и по отдельности
",,"щетки упакованы в картонную упаковку по 4 шт. разного цвета, каждая отдельная щетка упакована в классический контейнер из ПВХ и картона.",использовать для чистки зубов утром и вечером,,,"На первый взгляд это обычная зубная щетка с подвижной серединной структурой, но эта щетка живая – она индикатор. Она изготовлена из полусинтетической щетины и натурального ворса (половина каждого волоска – это натуральный волос белки, а вторая половина – полусинтетический биополимер, соединенные друг с другом при помощи генной сварки)."
,,,,* Зубная нитка,,glister ,0994,"93,70",Зубная нитка,,,30 м/п,,,,,"Шелковая цельная нить для чистки зубов изготовлена из современного, гиппоаллергенного материала, который легко проникает даже в самые узкие щели между зубами и нежно обращается с деснами. Цельная нить. Не рвется и не оставляет волокон между зубами. Мятный вкус, освежающий запах.
В отличие от зубных ниток других производителей, эта продукция изготавливается из одной ниточки, которая не расщепляется, и поэтому во время использования отслоенные кусочки не застревают между зубов.
","содержит 100% политетрафторэтиленовой смолы с покрытием, не содержащим воск",,"оторвите кусок нити (длиной примерно 45 см) и обмотайте большую его часть вокруг средних пальцев, удерживая нить между большими и указательными пальцами. Нежно проведите чистым участком нити вверх-вниз между зубами, потом измените угол, чтобы нить обогнула каждый из зубов, между которыми она проходит, и очистила их со всех сторон, потом пройдитесь нитью вверх до места, где зуб входит в десну, чтобы очистить место между зубом и десной.","glister Многофункциональная фтористая зубная паста (6833), glister Концентрированная жидкость для полоскания полости рта (9949), glister Универсальная зубная щетка (100957)",,
,,* уход за телом,,,,,,,,,,,,,,,,,,,,,
,,,* для тела,,,,,,,,,,,,,,,,,,,,
,,,,* Лосьон для тела,,BODY SERIES G&H,100268,"151,39",Лосьон д/тела,250 мл,,,,,,,"Лосьон для тела нежно ухаживает за кожей, делает ее мягкой и гладкой, увлажняет и защищает. Способен заживлять и успокаивать раздраженную кожу. Не оставляет на коже жирной пленки. Обогащен глицерином и натуральным медом. Нежная, мягкая формула – ваша кожа будет гладкой и приятной на ощупь. Предназначен для ежедневного использования независимо от времени года. Не вызывает аллергических реакций. 
Концентрированная формула
",,"флакон объемом 250 мл с крышечкой, которую удобно открывать одной рукой.",нанесите на руки и все тело. ,,,
,,,,* Лосьон для рук и тела,,BODY SERIES ALLANO,6863,"209,52",Лосьон д/рук и тела,250 мл,,,,,,,"Лосьон для рук и тела смягчает и успокаивает обветренную или обожженную на солнце кожу. Создает барьер, защищающий вашу кожу от потери влаги. Нежно ухаживает за огрубевшей и сухой кожей, смягчая и успокаивая ее. Мгновенно впитывается, не оставляет жирной пленки. Содержит аллантоин и силикон. Подходит для всех членов семьи. Протестирован дерматологами.
Концентрированная формула, экономный расход.
",,"флакон объемом 250 мл с крышечкой, которую удобно открывать одной рукой.","нанесите на руки и все тело, используйте ежедневно, чтобы получить наилучший результат.",,,
,,,,* Роликовый антиперспирант,,BODY SERIES™,2178,"179,58",Дезодорант роликовый,100 мл,,,,,,,"Роликовый дезодорант-антиперспирант обеспечивает надежную защиту от потовыделения и неприятного запаха до 48 часов. Нейтрализует неприятные запахи. Отлично защищает от потовыделения, быстро высыхает и не оставляет следов, сбалансированный уровень pH. Имеет приятный свежий аромат. 
Универсальный – подходит и женщинам, и мужчинам. Не оставляет белых пятен на одежде. Содержит эксклюзивный ягельный комплекс Lichen Plus Complex. Протестирован дерматологами.
Концентрированная формула, экономный расход.
",,"флакон, удобный для нанесения средства","нанесите на чистую кожу под мышками, используйте ежедневно",,,
,,,,* Дезодорант-антиперспирант спрей,,BODY SERIES,2177,"175,27",Дезодорант спрей,200 мл,130 гр.,,,,,,"Дезодорант-антиперспирант спрей обеспечивает продолжительную (до 48 часов) защиту от потовыделения и неприятного запаха. Быстро высыхает и не оставляет белых следов на одежде. Содержит эксклюзивный ягельный комплекс Lichen Plus Complex. Имеет приятный свежий аромат. Универсальный – одинаково хорошо подходит как мужчинам, так и женщинам.
Концентрированная формула, экономный расход.
",,"флакон, удобный для распыления средства","нанесите на чистую кожу под мышками, используйте ежедневно",,,
,,,,* Прозрачный дезодорант-антиперспирант стик,,BODY SERIES™,100276,"248,59",Дезодорант стик,,75 гр.,,,,,,"Прозрачный дезодорант-антиперспирант стик обеспечивает эффективную (до 48 часов) защиту от потовыделения и неприятного запаха. Надолго сохраняет кожу сухой и чистой, не оставляет следов на одежде. Твердый и прозрачный, сбалансирован по уровню pH. Обладает свежим цитрусово-цветочным ароматом. Очень эффективный. Универсальный – подходит как мужчинам, так и женщинам. Протестирован дерматологами.
Концентрированная формула, экономный расход.
",,"флакон, удобный для нанесения средства","нанесите на чистую кожу под мышками, используйте ежедневно",,,
,,,,* Увлажняющий лосьон для рук и тела,,BODY SERIES,2175,"409,02",Лосьон д/рук и тела,400 мл,,,,,,,"Увлажняющий лосьон для рук и тела заметно улучшает состояние кожи в течении двух часов с момента его нанесения. Обеспечивает коже необходимое количество влаги. Содержит солнцезащитный фильтр – при чрезмерном солнечном облучении защищает кожу от УФА и УФВ лучей. 
Частично разглаживает как поверхностные, так и глубокие морщины, делая их менее заметными. Быстро впитывается кожей и имеет сбалансированный уровень pH. Не оставляет жирной пленки. Содержит протеины овса. Нежная формула подходит для всех типов кожи. Протестировано дерматологами, не вызывает аллергических реакций.
Концентрированная формула, экономный расход.
",,"флакон объемом 400 мл, удобный для нанесения средства","нанесите на руки и все тело, для достижения оптимального результата используйте ежедневно, не зависимо от времени года.",,,
,,,,* Гель для душа,,BODY SERIES G&H,100270,"136,63",Гель д/душа,250 мл,,,,,,,"Гель для душа нежно ухаживает за кожей, делает ее мягкой и шелковистой, оставляя на ней чудесное ощущение свежести. Обогащен глицерином и натуральным медом, содержит протеин. Нежная, мягкая, увлажняющая формула. Средство подходит для ежедневного использования и для всех типов кожи. Протестировано дерматологами, не вызывает аллергических реакций.
Концентрированная формула, экономный расход.
",,"флакон объемом 250 мл, удобный для нанесения средства","нанесите немного средства на ладони, разотрите в руках под душем до густой пены, нанесите на все тело, смойте водой",,,
,,,,* Освежающий гель для душа,,BODY SERIES,2162,"230,33",Гель д/душа,400 мл,,,,,,,"Освежающий гель для душа выполняет одновременно три функции – очищает, увлажняет и дезодорирует вашу кожу. Обеспечивает нежное, и в то же время эффективное очищение, делает кожу мягкой и шелковистой. Нейтрализует неприятные запахи и придает коже аромат свежести. 
Содержит очищающий комплекс, разработанный на основе экстрактов зерновых и кокоса, безопасный для вашей кожи и окружающей среды. Имеет нейтральный дезодорирующий запах. Легко смывается, не оставляя мыльной пленки на коже и на стенках ванной. Имеет сбалансированный уровень pH. Нежная формула подходит для всех типов кожи. Протестировано дерматологами, не вызывает аллергических реакций.
Концентрированная формула, экономный расход.
",,"флакон объемом 400 мл, удобный для нанесения средства","нанесите немного средства на ладони, разотрите в руках под душем до густой пены, нанесите на все тело, смойте водой",,,
,,,,"* Освежающий гель для душа, сменный пакет",,BODY SERIES,2163,"524,86",Гель д/душа,1 литр,,,,,,,"Освежающий гель для душа, сменный пакет – это уникальная упаковка с удобным горлышком содержит 1 литр средства. Приобретая ее, вы сможете заново наполнить 400-милилитровую бутылочку своего любимого геля для душа еще два с половиной раза.",,"мягкий пакет с горлышком, через которое удобно переливать средство во флакон, предназначенный для средства",применять так же как BODY SERIES Освежающий гель для душа (2162),,,
,,,,* Мыло 3-в-1,,BODY SERIES,2170,"412,96",Мыло 3-в-1,,6х150 гр.,,,,,,"Мыло 3-в-1 содержит очищающий комплекс, разработанный на основе экстрактов зерновых и кокоса, безопасный для вашей кожи и окружающей среды. Обеспечивает нежное и в то же время эффективное очищение. Защищает от неприятного запаха и оставляет коже ощущение увлажненности и свежести. 
Обогащено кремом, миндальным маслом. Образует густую нежную пену. Обладает антибактериальным свойством и эффектом дезодорирования. Свежий аромат. Разрешено использовать для детей возрастом от 3-х лет. Нежная формула подходит для всех типов кожи. Протестировано дерматологами, не вызывает аллергических реакций.
Концентрированная формула, экономный расход.
Мыло можно приобрести не только упаковкой, но и поштучно.
",,"мыло упаковано в картонную коробку стильного дизайна по 6 брусков в упаковке, каждое отдельное мыло упаковано в специальную бумагу","потрите мыло между ладонями под струей проточной воды до образования пены, нанесите на кожу, затем смойте проточной водой",,"• проблемная кожа, склонная к образованию прыщей и угрей",
,,,,* Дезодорированное мыло,,BODY SERIES,8272,"389,97",Мыло дезодор.,,8х100 гр.,,,,,,"Дезодорированное мыло в своей формуле содержит проверенные на практике компоненты, эффективно уничтожающие и защищающие от любых неприятных запахов. Дополнительно смягчает кожу, делает ее нежной и шелковистой, очищает и дезодорирует. Придает коже приятный свежий аромат, устойчивый в течении 24 часов. Подходит для всех типов кожи. Протестировано дерматологами, не вызывает аллергических реакций.
Концентрированная формула, экономный расход.
Мыло можно приобрести не только упаковкой, но и поштучно.
",,"мыло упаковано в картонную коробку стильного дизайна по 8 брусков в упаковке, каждое отдельное мыло упаковано в специальную бумагу","потрите мыло между ладонями под струей проточной воды до образования пены, нанесите на кожу, затем смойте проточной водой",,,
,,,,* Мыло для полного ухода за кожей,,BODY SERIES G&H,2181,"223,81",Мыло компл. уход,,3х250 гр.,,,,,,"Мыло для полного ухода за кожей содержит надежные проверенные компоненты для естественного увлажнения кожи. Нежное полупрозрачное мыло эффективное и мягкое, приятно расслабляет и дарит наслаждение. 
Мыло обогащено глицерином и натуральным медом. Образует обильную пену и легко смывается, не оставляя налета на коже. Его можно смело использовать как для лица, так и для всего тела. Отлично подходит для всех типов кожи, и идеально для сухой. Современный дизайн. Протестировано дерматологами, не вызывает аллергических реакций.
Концентрированная формула, экономный расход.
Мыло можно приобрести не только упаковкой, но и поштучно.
",,"мыло упаковано в картонную коробку стильного дизайна по 3 бруска в упаковке, каждое отдельное мыло упаковано в специальную бумагу","потрите мыло между ладонями под струей проточной воды до образования пены, нанесите на кожу, затем смойте проточной водой",,,
,,,* для рук и ног,,,,,,,,,,,,,,,,,,,,
,,,,* Крем для рук и ногтей с аргоновым маслом и витамином Е,,,117522,"564,77",Крем д/рук и ногтей,3х30 мл,,,,,,,"Известно, что возраст в первую очередь выдают руки. Поэтому позаботьтесь о том, чтобы кожа ваших рук как можно дольше оставалась ухоженной, нежной и бархатистой. С этой задачей прекрасно справиться наш крем для рук и ногтей с аргановым маслом и витамином Е. Аргановое масло – входит в список самых полезных масел в мире, а о свойствах витамина Е регенерировать кожу написано много книг и статей.
Кремом очень удобно пользоваться, поскольку он предлагается в виде трех тюбиков симпатичного дизайна, которые по отдельности удобно всюду брать с собой - на работу, использовать дома или в путешествии, вы всегда сможете поухаживать за собой. Протестировано дерматологами, не вызывает аллергических реакций.
Концентрированная формула, экономный расход.
Крем можно приобрести не только упаковкой, но и поштучно.
",,"набор состоит из трех тюбиков стильного дизайна по 30 мл в каждом, упакованных в красивую картонную упаковку","нанесите на чистые руки, разотрите, для лучшего эффекта используйте регулярно",,,
,,,,* Жидкое концентрированное мыло для рук,,BODY SERIES™,100100,"616,84",Мыло жидкое,1 литр,,,,,,,"Жидкое концентрированное мыло для рук содержит очищающий комплекс, разработанный на основе экстрактов зерновых и кокоса, безопасный для вашей кожи и окружающей среды. Обладает увлажняющим и дезодорирующим эффектом, нейтрализует неприятные запахи, придает коже аромат свежести и делает ее мягкой и шелковистой. 

Легко смывается, не оставляя мыльной пленки на коже и стенках ванной. Нейтральный запах, бесцветный цвет, сбалансированный уровень pH. Подходит для всех типов кожи. Протестировано дерматологами, не вызывает аллергических реакций.

Концентрированная формула, экономный расход.
",,"бутылка с крышечкой объемом 1 литр, подходит для четырехкратного наполнения емкости объемом 250 мл.","потрите мыло между ладонями под струей проточной воды до образования пены, нанесите на кожу, затем смойте проточной водой",BODY SERIES Жидкое концентрированное мыло для рук объемом 250 мл (2171),,
,,,,* Жидкое концентрированное мыло для рук,,BODY SERIES™,2171,"198,29",Мыло жидкое,250 мл,,,,,,,"Жидкое концентрированное мыло для рук содержит очищающий комплекс, разработанный на основе экстрактов зерновых и кокоса, безопасный для вашей кожи и окружающей среды. Обладает увлажняющим и дезодорирующим эффектом, нейтрализует неприятные запахи, придает коже аромат свежести и делает ее мягкой и шелковистой. 

Легко смывается, не оставляя мыльной пленки на коже и стенках ванной. Нейтральный запах, бесцветный цвет, антибактериальная формула, сбалансированный уровень pH. Подходит для всех типов кожи. Протестировано дерматологами, не вызывает аллергических реакций.

Концентрированная формула, экономный расход, одного флакона хватит для того, чтобы вымыть руки более 450 раз.
",,пластиковый белый флакон с насадкой в виде помпы-дозатора (нажим рукой),"нажмите на помпу один раз, разотрите мыло между ладонями под струей проточной воды до образования пены, нанесите на кожу, затем смойте проточной водой",BODY SERIES™ Жидкое концентрированное мыло для рук 1 литр (100100),,
,,,,,,,,,,,,,,,,,,,,,,,
,,* уход за волосами,,,,,,,,,,,,,,,,,,,,,
,,,* шампуни,,,,,,,,,,,,,,,,,,,,
,,,,* Шампунь для восстановления цвета волос,,SATINIQUE™,121424,"613,23",Шампунь вост./цвета,750 мл,,,,,,,"Шампунь для восстановления волос содержит запатентованный комплекс веществ растительного происхождения, способствующих интенсивному восстановлению волос и сохранению цвета максимально долго. Обеспечивает достаточное увлажнение и одновременно восстанавливает кутикулу волос, возвращает к жизни сухие тусклые волосы. Препятствует возникновению секущихся кончиков, придает волосам мягкость и шелковистость. Средство идеально для ухода за поврежденными и окрашенными волосами. Не вымывает цвет красок для волос, легко смывается. Пригоден для ежедневного использования. Протестирован дерматологами, не вызывает аллергических реакций.
Концентрированная формула, экономный расход.
","экстракт граната, экстракт виноградных косточек, креатин, липиды 18-MEA, другие компоненты, защищенные патентом. Не содержит сульфатов.",бутылка объемом 750 мл с крышкой-дозатором,"нанесите шампунь на влажные волосы и слегка помассируйте их до образования пены, после чего смойте водой. После мытья шампунем рекомендуется нанести на волосы кондиционер, равномерно его распределить по всей длине волос, затем снова промыть водой.",SATINIQUE™ Кондиционер для восстановления цвета волос 750 мл (121425),,
,,,,* Шампунь для восстановления цвета волос,,SATINIQUE™,110663,"282,91",Шампунь вост./цвета,280 мл,,,,,,,"Шампунь для восстановления волос содержит запатентованный комплекс веществ растительного происхождения, способствующих интенсивному восстановлению волос и сохранению цвета максимально долго. Обеспечивает достаточное увлажнение и одновременно восстанавливает кутикулу волос, возвращает к жизни сухие тусклые волосы. Препятствует возникновению секущихся кончиков, придает волосам мягкость и шелковистость. Средство идеально для ухода за поврежденными и окрашенными волосами. Не вымывает цвет красок для волос, легко смывается. Пригоден для ежедневного использования. Протестирован дерматологами, не вызывает аллергических реакций.
Концентрированная формула, экономный расход.
","экстракт граната, экстракт виноградных косточек, креатин, липиды 18-MEA, другие компоненты, защищенные патентом. Не содержит сульфатов.",бутылка объемом 280 мл с крышкой-дозатором,"нанесите шампунь на влажные волосы и слегка помассируйте их до образования пены, после чего смойте водой. После мытья шампунем рекомендуется нанести на волосы кондиционер, равномерно его распределить по всей длине волос, затем снова промыть водой.",SATINIQUE™ Кондиционер для восстановления цвета волос 280 мл (110671),,
,,,,* Шампунь для увеличения объема волос,,SATINIQUE™,121422,"548,59",Шампунь увел/объема,750 мл,,,,,,,"Шампунь для увеличения объема волос содержит запатентованный комплекс веществ растительного происхождения, которые придают тонким, плоским и обвисшим волосам новый объем и восстанавливают жизненные силы. Ваши волосы будут выглядеть весь день пышными и густыми даже при влажной погоде. Шампунь придает волосам мягкость и блеск, а также укрепляет и питает их. Активные компоненты шампуня легко впитываются в структуру волос, возвращая им естественный здоровый вид. Пригоден для ежедневного использования. Протестирован дерматологами, не вызывает аллергических реакций.
Концентрированная формула, экономный расход.
","смесь масла ореха макадамии, протеины сои, креатин, липиды 18-MEA, другие компоненты, защищенные патентом. Не содержит сульфатов.",бутылка объемом 750 мл с крышкой-дозатором,"нанесите шампунь на влажные волосы и слегка помассируйте их до образования пены, после чего смойте водой. После мытья шампунем рекомендуется нанести на волосы кондиционер, равномерно его распределить по всей длине волос, затем снова промыть водой.",SATINIQUE™ Кондиционер для увеличения объема волос 750 мл (121423),,
,,,,* Шампунь для увеличения объема волос,,SATINIQUE™,110657,"252,99",Шампунь увел/объема,280 мл,,,,,,,"Шампунь для увеличения объема волос содержит запатентованный комплекс веществ растительного происхождения, которые придают тонким, плоским и обвисшим волосам новый объем и восстанавливают жизненные силы. Ваши волосы будут выглядеть весь день пышными и густыми даже при влажной погоде. Шампунь придает волосам мягкость и блеск, а также укрепляет и питает их. Активные компоненты шампуня легко впитываются в структуру волос, возвращая им естественный здоровый вид. Пригоден для ежедневного использования. Протестирован дерматологами, не вызывает аллергических реакций.
Концентрированная формула, экономный расход.
","смесь масла ореха макадамии, протеины сои, креатин, липиды 18-MEA, другие компоненты, защищенные патентом. Не содержит сульфатов.",бутылка объемом 280 мл с крышкой-дозатором,"нанесите шампунь на влажные волосы и слегка помассируйте их до образования пены, после чего смойте водой. После мытья шампунем рекомендуется нанести на волосы кондиционер, равномерно его распределить по всей длине волос, затем снова промыть водой.",SATINIQUE™ Кондиционер для увеличения объема волос 280 мл (110667),,
